,check,amount,Purchase,Category,FOIA No,Link,Comments,not shown
1/4/2010,14425,9423.8,computer purchase,Routine,15-6708,14425.pdf,4 macbook pros,
1/5/2010,14428,6297.69,server purchase,Routine,15-6708,14428.pdf,for filemaker,
1/6/2010,14443,6292.58,AT&T trunking,Routine,15-6708,14443.pdf,,
1/6/2010,14445,128960.15,Enterprise,Routine,"15-6526, 15-6708",14445.pdf,,
1/12/2010,14452,34039.74,Phones,Routine,15-6708,14452.pdf,,
1/20/2010,14470,127087.81,Enterprise,Routine,15-6523,14470.pdf,,
1/21/2010,14471,8500,Lexis Nexis,Surveillance,15-6523,14471.pdf,,
1/26/2010,14491,5695,Lexis Nexis,Surveillance,15-6523,14491.pdf,,
2/1/2010,14497,6612.05,at&T trunking,Routine,15-6523,14497.pdf,,
2/1/2010,14501,32894,Independent audit 1505/657 funds,Routine,15-6523,14501.pdf,?,
2/3/2010,14506,38448.49,Phones,Routine,15-6526,14506.pdf,,
2/3/2010,14509,36673.28,Phones,Routine,15-6526,14509.pdf,,
2/17/2010,14535,8500,Lexis Nexis,Surveillance,15-6526,14535.pdf,,
2/17/2010,14536,13720,ALPR,Surveillance,15-6526,14536.pdf,homan sq,Marked as Check #14538 in Freddy doc
2/19/2010,14554,13968,ocd vision,?,15-6526,14554.pdf,what is ocd vision db,
2/19/2010,14555,11174.4,ocd vision,?,15-6526,14555.pdf,,
2/23/2010,14562,129240.15,,,,,,
2/23/2010,14568,5440,accurint,surveillance,15-6526,14568.pdf,,
2/25/2010,14577,6383.2,K9 Training,Routine,15-6526,14577.pdf,,
3/2/2010,14579,12436.24,repair for seized vehicles,Routine,15-6526,14579.pdf,,
3/3/2010,14586,20174.65,repair for seized vehicles,Routine,15-6526,14586.pdf,,
3/11/2010,14610,44750,,,,,,
3/22/2010,14618,5780,,,,,,
3/22/2010,14619,8500,,,,,,
3/24/2010,14659,9000,,,,,,
3/24/2010,14660,6180.66,,,,,,
3/24/2010,14661,146560.87,,,,,,
4/1/2010,14675,6612.05,,,,,,
4/1/2010,14678,13377.34,,,,,,
4/1/2010,14681,12080,,,,,,
4/1/2010,14682,6033.23,,,,,,
4/1/2010,14683,20100,Star Witness,routine,16-0005,14683.pdf,,
4/1/2010,14688,19348.81,phones,routine,16-0005,14688.pdf,,
4/7/2010,14695,36661.9,phones,routine,16-0005,14695.pdf,,
4/16/2010,14716,8500,lexis nexis,surveillance,16-0005,14716.pdf,,
4/21/2010,14722,5865,lexis nexis,surveillance,16-0005,14722.pdf,,
5/3/2010,14738,6612.05,AT&T Trunking,routine,16-0005,14738.pdf,,
5/5/2010,14754,117287.8,computer purchase,routine,16-0005,14754.pdf,140 dell computers and monitors,
5/5/2010,14757,134398,enterprise,routine,16-0005,14757.pdf,,
5/5/2010,14761,24600,File Maker License,routine,16-0005,14761.pdf,VISION Database? ,
5/11/2010,14775,73615.88,phones,routine,16-0005,14775.pdf,Amount differs from check on page 13 in foia 16-0005,
