Check Date,Check number,Amount in $,Purchase,Category,FOIA No,Link,Notes,Redaction,Requested by,Requested Date,First Response,Received Date,Muckrock Link
1/4/2010,14425,9423.8,computer purchase,Routine,15-6708,14425.pdf,4 macbook pros,,Michael Morisey,10/31/15,11/23/15,12/2/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14425-through-14452-22173/
1/5/2010,14428,6297.69,server purchase,Routine,15-6708,14428.pdf,for filemaker,,Michael Morisey,10/31/15,11/23/15,12/2/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14425-through-14452-22173/
1/6/2010,14443,6292.58,AT&T trunking,Routine,15-6708,14443.pdf,,,Michael Morisey,10/31/15,11/23/15,12/2/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14425-through-14452-22173/
1/6/2010,14445,128960.15,Enterprise,Routine,"15-6526, 15-6708",14445.pdf,,,Michael Morisey,10/31/15,11/23/15,12/2/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14425-through-14452-22173/
1/12/2010,14452,34039.74,Phones,Routine,15-6708,14452.pdf,,,Michael Morisey,10/31/15,11/23/15,12/2/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14425-through-14452-22173/
1/20/2010,14470,127087.81,Enterprise,Routine,15-6523,14470.pdf,,,Phil Mocek,11/2/15,11/9/15,11/17/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14470-through-14501-22227/
1/21/2010,14471,8500,Lexis Nexis,Surveillance,15-6523,14471.pdf,,,Phil Mocek,11/2/15,11/9/15,11/17/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14470-through-14501-22227/
1/26/2010,14491,5695,Lexis Nexis,Surveillance,15-6523,14491.pdf,,,Phil Mocek,11/2/15,11/9/15,11/17/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14470-through-14501-22227/
2/1/2010,14497,6612.05,at&T trunking,Routine,15-6523,14497.pdf,,,Phil Mocek,11/2/15,11/9/15,11/17/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14470-through-14501-22227/
2/1/2010,14501,32894,Independent audit 1505/657 funds,Routine,15-6523,14501.pdf,?,,Phil Mocek,11/2/15,11/9/15,11/17/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14470-through-14501-22227/
2/3/2010,14506,38448.49,Phones,Routine,15-6526,14506.pdf,,,,,,,
2/3/2010,14509,36673.28,Phones,Routine,15-6526,14509.pdf,,,,,,,
2/17/2010,14535,8500,Lexis Nexis,Surveillance,15-6526,14535.pdf,,,,,,,
2/17/2010,14536,13720,ALPR,Surveillance,15-6526,14536.pdf,Homan Square but Marked as Check #14538 in Freddy doc,,,,,
2/19/2010,14554,13968,ocd vision,?,15-6526,14554.pdf,what is ocd vision db,,,,,,
2/19/2010,14555,11174.4,ocd vision,?,15-6526,14555.pdf,,,,,,,
2/23/2010,14562,129240.15,Enterprise,Routine,P048638,14562.pdf,,,Kayvis Damptey,6/10/16,,6/20/16,Personal e-mail
2/23/2010,14568,5440,accurint,surveillance,15-6526,14568.pdf,,,,,,,
2/25/2010,14577,6383.2,K9 Training,Routine,15-6526,14577.pdf,,,,,,,
3/2/2010,14579,12436.24,repair for seized vehicles,Routine,15-6526,14579.pdf,,,,,,,
3/3/2010,14586,20174.65,repair for seized vehicles,Routine,15-6526,14586.pdf,,,,,,,
3/11/2010,14610,44750,computer purchase,routine,15-7046,14610.pdf,,,Phil Mocek,11/30/15,12/7/15,1/28/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
3/22/2010,14618,5780,subscription to Accurint web access,surveillance,15-7046,14618.pdf,,,Phil Mocek,11/30/15,12/7/15,1/28/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
3/22/2010,14619,8500,Accurint public record web access for OCD drug investigators,surveillance,15-7046,14619.pdf,,,Phil Mocek,11/30/15,12/7/15,1/28/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
3/24/2010,14659,9000,IDEOA training fee for 40 officers,routine,15-7046,14659.pdf,,,Phil Mocek,11/30/15,12/7/15,1/28/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
3/24/2010,14660,6180.66,repairs for forefeited vehicles,routine,15-7046,14660.pdf,,,Phil Mocek,11/30/15,12/7/15,1/28/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
3/24/2010,14661,146560.87,enterprise,routine,15-7046,14661.pdf,,,Phil Mocek,11/30/15,12/7/15,1/28/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
4/1/2010,14675,6612.05,at&t trunking,routine,15-7046,14675.pdf,,,Phil Mocek,11/30/15,12/7/15,1/28/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
4/1/2010,14678,13377.34,"unclear, ""utilized during narcotic related investigations""",?,15-7046,14678.pdf,,overredaction,Phil Mocek,11/30/15,12/7/15,1/28/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
4/1/2010,14681,12080,"unclear, ""utilized during narcotic related investigations""",?,15-7046,14681.pdf,,overredaction,Phil Mocek,11/30/15,12/7/15,1/28/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
4/1/2010,14682,6033.23,"hp monitors, ""data color spyder3""",routine,15-7046,14682.pdf,,,Phil Mocek,11/30/15,12/7/15,1/28/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
4/1/2010,14683,20100,Star Witness,routine,16-0005,14683.pdf,,,Ikram Bokhari,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
4/1/2010,14688,19348.81,phones,routine,16-0005,14688.pdf,,,Ikram Bokhari,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
4/7/2010,14695,36661.9,phones,routine,16-0005,14695.pdf,,,Ikram Bokhari,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
4/16/2010,14716,8500,lexis nexis,surveillance,16-0005,14716.pdf,,,Ikram Bokhari,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
4/21/2010,14722,5865,lexis nexis,surveillance,16-0005,14722.pdf,,,Ikram Bokhari,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
5/3/2010,14738,6612.05,AT&T Trunking,routine,16-0005,14738.pdf,,,Ikram Bokhari,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
5/5/2010,14754,117287.8,computer purchase,routine,16-0005,14754.pdf,140 dell computers and monitors,,Ikram Bokhari,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
5/5/2010,14757,134398,enterprise,routine,16-0005,14757.pdf,,,Ikram Bokhari,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
5/5/2010,14761,24600,File Maker License,routine,16-0005,14761.pdf,VISION Database? ,,Ikram Bokhari,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
5/11/2010,14775,73615.88,phones,routine,16-0005,14775.pdf,Amount differs from check on page 13 in foia 16-0005,,Ikram Bokhari,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
5/11/2010,14777,43316.1,phones,routine,15-7567,14777.pdf,,,,,,,
5/21/2010,14784,8500,lexis nexis,surveillance,15-7567,14784.pdf,,,,,,,
5/21/2010,14785,5865,lexis nexis,surveillance,15-7567,14785.pdf,,,,,,,
5/24/2010,14811,9869.6,seized vehicles,routine,15-7567,14811.pdf,,,,,,,
5/24/2010,14812,11850.85,seized vehicles,routine,15-7567,14812.pdf,,,,,,,
5/25/2010,14813,301500,SWAT equipment,routine,15-7567,14813.pdf,,,,,,,
5/25/2010,14814,33500,SWAT equipment,routine,15-7567,14814.pdf,,,,,,,
5/26/2010,14826,5963.91,seized vehicles,routine,15-7567,14826.pdf,,,,,,,
6/8/2010,14870,8594,server,routine,15-7567,14870.pdf,for OCD administrative office,,,,,,
6/14/2010,14874,59016.7,training equipment,routine,15-7567,14874.pdf,,overredaction,,,,,
6/18/2010,14889,213754.83,49 vehicles,routine,16-00089,14889.pdf,,,,,,,
6/21/2010,14892,8500,lexis nexis,surveillance,16-00089,14892.pdf,,,,,,,
6/21/2010,14893,5790.5,lexis nexis,surveillance,16-00089,14893.pdf,,,,,,,
6/21/2010,14894,251654.28,enterprise,routine,16-00089,14894.pdf,,,,,,,
6/21/2010,14895,15661.93,enterprise,routine,16-00089,14895.pdf,,,,,,,
7/12/2010,14944,20194.41,phones,routine,16-00089,14944.pdf,,,,,,,
7/12/2010,14946,19241.49,phones,routine,16-00089,14946.pdf,,,,,,,
7/13/2010,14948,36840.93,phones,routine,16-00089,14948.pdf,,,,,,,
7/13/2010,14950,36968.82,phones,routine,16-00089,14950.pdf,,,,,,,
7/13/2010,14952,37509.42,phones,routine,16-00089,14952.pdf,,,,,,,
7/14/2010,14961,132593.39,enterprise,routine,16-0007,14961.pdf,,,,,,,
7/19/2010,14969,8500,lexis nexis,surveillance,16-0007,14969.pdf,,,,,,,
7/23/2010,14974,6080.5,lexis nexis,surveillance,16-0007,14974.pdf,,,,,,,
7/23/2010,14976,8362.5,raid apparel,routine,16-0007,14976.pdf,,,,,,,
8/2/2010,14998,5322.14,AT&T trunking,routine,16-0007,14998.pdf,,,,,,,
8/12/2010,15015,16366.35,gps trackers,surveillance,16-0007,15015.pdf,,,,,,,
8/12/2010,15016,5220,black widow surveillance,surveillance,16-0007,15016.pdf,,,,,,,
8/19/2010,15018,8500,lexis nexis,surveillance,16-0007,15018.pdf,,,,,,,
8/20/2010,15022,5960.5,lexis nexis,surveillance,16-0007,15022.pdf,,,,,,,
8/25/2010,15038,5740.81,AT&T trunking,routine,16-0007,15038.pdf,,,,,,,
9/2/2010,15062,115146.65,enterprise,routine,16-0191,15062.pdf,,,Freddy Martinez,1/10/16,1/19/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
9/2/2010,15063,23599.34,enterprise,routine,16-0191,15063.pdf,,,Freddy Martinez,1/10/16,1/19/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
