Date,Amount,Purchase,Category,Link,MuckRock Link
2010-01-04,9423.80,computer purchase,routine,14425.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14425-through-14452-22173/
2010-01-05,6297.69,filemaker,routine,14428.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14425-through-14452-22173/
2010-01-06,6292.58,at&t trunking,routine,14443.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14425-through-14452-22173/
2010-01-06,128960.15,enterprise,car rental,14445.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14425-through-14452-22173/
2010-01-12,34039.74,phones,phones,14452.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14425-through-14452-22173/
2010-01-20,127087.81,enterprise,car rental,14470.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14470-through-14501-22227/
2010-01-21,8500.00,lexis nexis,routine,14471.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14470-through-14501-22227/
2010-01-26,5695.00,lexis nexis,routine,14491.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14470-through-14501-22227/
2010-02-01,6612.05,at&t trunking,routine,14497.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14470-through-14501-22227/
2010-02-01,32894.00,independent audit 1505/657 funds,routine,14501.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14470-through-14501-22227/
2010-02-03,38448.49,phones,phones,14506.pdf,No data
2010-02-03,36673.28,phones,phones,14509.pdf,No data
2010-02-17,8500.00,lexis nexis,routine,14535.pdf,No data
2010-02-17,13720.00,alpr,surveillance,14536.pdf,No data
2010-02-19,13968.00,ocd vision,unknown,14554.pdf,No data
2010-02-19,11174.40,ocd vision,unknown,14555.pdf,No data
2010-02-23,129240.15,enterprise,enterprise,14562.pdf,Personal e-mail
2010-02-23,5440.00,lexis nexis,routine,14568.pdf,No data
2010-02-25,6383.20,k9s,routine,14577.pdf,No data
2010-03-02,12436.24,car repair,routine,14579.pdf,No data
2010-03-03,20174.65,car repair,routine,14586.pdf,No data
2010-03-11,44750.00,computer purchase,routine,14610.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
2010-03-22,5780.00,lexis nexis,routine,14618.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
2010-03-22,8500.00,lexis nexis,routine,14619.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
2010-03-24,9000.00,dea conference,routine,14659.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
2010-03-24,6180.66,car repair,routine,14660.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
2010-03-24,146560.87,enterprise,car rental,14661.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
2010-04-01,6612.05,at&t trunking,routine,14675.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
2010-04-01,13377.34,"unclear: ""utilized during narcotic related investigations""",unknown,14678.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
2010-04-01,12080.00,"unclear: ""utilized during narcotic related investigations""",unknown,14681.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
2010-04-01,6033.23,"hp monitors: ""data color spyder3""",routine,14682.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14610-through-14682-22502/
2010-04-01,20100.00,star witness,routine,14683.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
2010-04-01,19348.81,phones,phones,14688.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
2010-04-07,36661.90,phones,phones,14695.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
2010-04-16,8500.00,lexis nexis,routine,14716.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
2010-04-21,5865.00,lexis nexis,routine,14722.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
2010-05-03,6612.05,at&t trunking,routine,14738.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
2010-05-05,117287.80,computer purchase,routine,14754.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
2010-05-05,134398.00,enterprise,car rental,14757.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
2010-05-05,24600.00,filemaker,routine,14761.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
2010-05-11,73615.88,phones,phones,14775.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-14683-through-14775-22816/
2010-05-11,43316.10,phones,phones,14777.pdf,No data
2010-05-21,8500.00,lexis nexis,routine,14784.pdf,No data
2010-05-21,5865.00,lexis nexis,routine,14785.pdf,No data
2010-05-24,9869.60,car repair,routine,14811.pdf,No data
2010-05-24,11850.85,car repair,routine,14812.pdf,No data
2010-05-25,301500.00,swat equipment,routine,14813.pdf,No data
2010-05-25,33500.00,swat equipment,routine,14814.pdf,No data
2010-05-26,5963.91,car repair,routine,14826.pdf,No data
2010-06-08,8594.00,server,routine,14870.pdf,No data
2010-06-14,59016.70,training equipment,routine,14874.pdf,No data
2010-06-18,213754.83,49 vehicles,routine,14889.pdf,No data
2010-06-21,8500.00,lexis nexis,routine,14892.pdf,No data
2010-06-21,5790.50,lexis nexis,routine,14893.pdf,No data
2010-06-21,251654.28,enterprise,car rental,14894.pdf,No data
2010-06-21,15661.93,enterprise,car rental,14895.pdf,No data
2010-07-12,20194.41,phones,phones,14944.pdf,No data
2010-07-12,19241.49,phones,phones,14946.pdf,No data
2010-07-13,36840.93,phones,phones,14948.pdf,No data
2010-07-13,36968.82,phones,phones,14950.pdf,No data
2010-07-13,37509.42,phones,phones,14952.pdf,No data
2010-07-14,132593.39,enterprise,car rental,14961.pdf,No data
2010-07-19,8500.00,lexis nexis,routine,14969.pdf,No data
2010-07-23,6080.50,lexis nexis,routine,14974.pdf,No data
2010-07-23,8362.50,raid jacket,routine,14976.pdf,No data
2010-08-02,5322.14,at&t trunking,routine,14998.pdf,No data
2010-08-12,16366.35,gps trackers,surveillance,15015.pdf,No data
2010-08-12,5220.00,black widow surveillance,surveillance,15016.pdf,No data
2010-08-19,8500.00,lexis nexis,routine,15018.pdf,No data
2010-08-20,5960.50,lexis nexis,routine,15022.pdf,No data
2010-08-25,5740.81,at&t trunking,routine,15038.pdf,No data
2010-09-02,115146.65,enterprise,car rental,15062.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-02,23599.34,enterprise,car rental,15063.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-14,6558.30,training equipment,routine,15094.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-22,8500.00,lexis nexis,routine,15107.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-24,7644.00,gps air time,routine,15112.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-24,5929.75,lexis nexis,routine,15113.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-24,5092.67,car repair,routine,15114.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-27,9600.00,car repair,routine,15120.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-27,16075.00,camera equipment,surveillance,15121.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-29,157300.00,stingray,surveillance,15127.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-10-01,7060.00,postal equipment,routine,15139.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-07,5326.62,car repair,routine,15150.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-07,125941.02,enterprise,car rental,15155.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
